subject_id,rewarded,presented,bin_coef,target_coef,choice,true_a,true_b,true_mean,true_tau
1,0,3,0,0.7,2,2.202258057,1.109708615,0.664939679,0.794175952
1,3,4,0.75,0.3,2,2.202258057,1.109708615,0.664939679,0.794175952
1,3,4,0.75,0.2,1,2.202258057,1.109708615,0.664939679,0.794175952
1,8,9,0.888888889,0.1,1,2.202258057,1.109708615,0.664939679,0.794175952
1,3,3,1,0.5,1,2.202258057,1.109708615,0.664939679,0.794175952
1,2,3,0.666666667,0.2,2,2.202258057,1.109708615,0.664939679,0.794175952
1,3,4,0.75,0.3,1,2.202258057,1.109708615,0.664939679,0.794175952
1,4,6,0.666666667,0.9,2,2.202258057,1.109708615,0.664939679,0.794175952
1,0,3,0,1,2,2.202258057,1.109708615,0.664939679,0.794175952
1,2,3,0.666666667,0.9,2,2.202258057,1.109708615,0.664939679,0.794175952
1,0,6,0,0.4,2,2.202258057,1.109708615,0.664939679,0.794175952
1,3,5,0.6,0.2,1,2.202258057,1.109708615,0.664939679,0.794175952
1,4,7,0.571428571,0.7,1,2.202258057,1.109708615,0.664939679,0.794175952
1,4,4,1,0.8,2,2.202258057,1.109708615,0.664939679,0.794175952
1,0,3,0,1,2,2.202258057,1.109708615,0.664939679,0.794175952
1,1,3,0.333333333,0.2,1,2.202258057,1.109708615,0.664939679,0.794175952
1,3,5,0.6,0.4,1,2.202258057,1.109708615,0.664939679,0.794175952
1,3,4,0.75,0.6,1,2.202258057,1.109708615,0.664939679,0.794175952
1,1,5,0.2,0.5,1,2.202258057,1.109708615,0.664939679,0.794175952
1,2,4,0.5,0.8,2,2.202258057,1.109708615,0.664939679,0.794175952
1,0,3,0,0.2,1,2.202258057,1.109708615,0.664939679,0.794175952
1,2,4,0.5,1,1,2.202258057,1.109708615,0.664939679,0.794175952
1,1,3,0.333333333,0.7,1,2.202258057,1.109708615,0.664939679,0.794175952
1,3,4,0.75,0.3,1,2.202258057,1.109708615,0.664939679,0.794175952
1,4,5,0.8,0.9,2,2.202258057,1.109708615,0.664939679,0.794175952
1,1,4,0.25,1,2,2.202258057,1.109708615,0.664939679,0.794175952
1,4,6,0.666666667,0.2,1,2.202258057,1.109708615,0.664939679,0.794175952
1,3,3,1,0.3,2,2.202258057,1.109708615,0.664939679,0.794175952
1,4,4,1,0.7,1,2.202258057,1.109708615,0.664939679,0.794175952
1,3,4,0.75,0.8,2,2.202258057,1.109708615,0.664939679,0.794175952
1,3,5,0.6,0.3,1,2.202258057,1.109708615,0.664939679,0.794175952
1,0,3,0,1,1,2.202258057,1.109708615,0.664939679,0.794175952
1,0,4,0,0.7,2,2.202258057,1.109708615,0.664939679,0.794175952
1,1,5,0.2,0.5,2,2.202258057,1.109708615,0.664939679,0.794175952
1,4,6,0.666666667,0.5,2,2.202258057,1.109708615,0.664939679,0.794175952
1,2,6,0.333333333,0.6,2,2.202258057,1.109708615,0.664939679,0.794175952
1,1,5,0.2,0.4,2,2.202258057,1.109708615,0.664939679,0.794175952
1,4,6,0.666666667,0.9,1,2.202258057,1.109708615,0.664939679,0.794175952
1,0,4,0,0.4,2,2.202258057,1.109708615,0.664939679,0.794175952
1,1,5,0.2,0.7,1,2.202258057,1.109708615,0.664939679,0.794175952
1,2,4,0.5,0.8,1,2.202258057,1.109708615,0.664939679,0.794175952
1,4,6,0.666666667,1,1,2.202258057,1.109708615,0.664939679,0.794175952
1,1,6,0.166666667,0.2,1,2.202258057,1.109708615,0.664939679,0.794175952
1,2,4,0.5,1,1,2.202258057,1.109708615,0.664939679,0.794175952
1,2,5,0.4,0.6,1,2.202258057,1.109708615,0.664939679,0.794175952
1,2,3,0.666666667,0.8,2,2.202258057,1.109708615,0.664939679,0.794175952
1,4,5,0.8,0.9,2,2.202258057,1.109708615,0.664939679,0.794175952
1,0,4,0,0.6,2,2.202258057,1.109708615,0.664939679,0.794175952
1,1,3,0.333333333,0.7,2,2.202258057,1.109708615,0.664939679,0.794175952
1,7,7,1,0.2,1,2.202258057,1.109708615,0.664939679,0.794175952
1,6,6,1,0.7,1,2.202258057,1.109708615,0.664939679,0.794175952
1,3,6,0.5,0.8,1,2.202258057,1.109708615,0.664939679,0.794175952
1,3,5,0.6,0.1,2,2.202258057,1.109708615,0.664939679,0.794175952
1,4,4,1,0.5,2,2.202258057,1.109708615,0.664939679,0.794175952
1,4,7,0.571428571,0.5,1,2.202258057,1.109708615,0.664939679,0.794175952
1,6,8,0.75,0.5,1,2.202258057,1.109708615,0.664939679,0.794175952
1,3,3,1,0.9,1,2.202258057,1.109708615,0.664939679,0.794175952
1,2,6,0.333333333,0.3,1,2.202258057,1.109708615,0.664939679,0.794175952
1,0,5,0,0.6,2,2.202258057,1.109708615,0.664939679,0.794175952
1,2,4,0.5,0.1,2,2.202258057,1.109708615,0.664939679,0.794175952
2,4,4,1,0.7,2,2.483423278,3.173470814,0.439008268,0.092425004
2,3,5,0.6,0.2,1,2.483423278,3.173470814,0.439008268,0.092425004
2,1,3,0.333333333,0.6,2,2.483423278,3.173470814,0.439008268,0.092425004
2,1,4,0.25,0.5,2,2.483423278,3.173470814,0.439008268,0.092425004
2,2,5,0.4,0.8,2,2.483423278,3.173470814,0.439008268,0.092425004
2,4,6,0.666666667,0.1,1,2.483423278,3.173470814,0.439008268,0.092425004
2,0,4,0,0.2,2,2.483423278,3.173470814,0.439008268,0.092425004
2,1,6,0.166666667,0.1,1,2.483423278,3.173470814,0.439008268,0.092425004
2,0,5,0,0.9,2,2.483423278,3.173470814,0.439008268,0.092425004
2,0,4,0,0.8,2,2.483423278,3.173470814,0.439008268,0.092425004
2,2,3,0.666666667,0.3,1,2.483423278,3.173470814,0.439008268,0.092425004
2,3,6,0.5,0.1,1,2.483423278,3.173470814,0.439008268,0.092425004
2,2,4,0.5,0.2,1,2.483423278,3.173470814,0.439008268,0.092425004
2,3,6,0.5,0.8,2,2.483423278,3.173470814,0.439008268,0.092425004
2,3,8,0.375,0.1,1,2.483423278,3.173470814,0.439008268,0.092425004
2,4,4,1,0.5,1,2.483423278,3.173470814,0.439008268,0.092425004
2,2,4,0.5,0.6,2,2.483423278,3.173470814,0.439008268,0.092425004
2,1,4,0.25,0.4,1,2.483423278,3.173470814,0.439008268,0.092425004
2,3,4,0.75,0.5,1,2.483423278,3.173470814,0.439008268,0.092425004
2,4,5,0.8,0.7,1,2.483423278,3.173470814,0.439008268,0.092425004
2,3,3,1,0.2,1,2.483423278,3.173470814,0.439008268,0.092425004
2,2,7,0.285714286,0.3,2,2.483423278,3.173470814,0.439008268,0.092425004
2,2,3,0.666666667,0.1,2,2.483423278,3.173470814,0.439008268,0.092425004
2,3,3,1,0.8,2,2.483423278,3.173470814,0.439008268,0.092425004
2,2,5,0.4,0.5,2,2.483423278,3.173470814,0.439008268,0.092425004
2,4,4,1,0.9,2,2.483423278,3.173470814,0.439008268,0.092425004
2,4,7,0.571428571,0.2,2,2.483423278,3.173470814,0.439008268,0.092425004
2,1,4,0.25,0.1,1,2.483423278,3.173470814,0.439008268,0.092425004
2,4,5,0.8,0.7,2,2.483423278,3.173470814,0.439008268,0.092425004
2,3,4,0.75,0.5,1,2.483423278,3.173470814,0.439008268,0.092425004
2,2,3,0.666666667,0.4,1,2.483423278,3.173470814,0.439008268,0.092425004
2,2,8,0.25,0.2,2,2.483423278,3.173470814,0.439008268,0.092425004
2,1,3,0.333333333,0.6,2,2.483423278,3.173470814,0.439008268,0.092425004
2,3,8,0.375,0.4,1,2.483423278,3.173470814,0.439008268,0.092425004
2,6,7,0.857142857,0.2,1,2.483423278,3.173470814,0.439008268,0.092425004
2,2,6,0.333333333,0.3,1,2.483423278,3.173470814,0.439008268,0.092425004
2,1,6,0.166666667,0.5,2,2.483423278,3.173470814,0.439008268,0.092425004
2,3,3,1,1,2,2.483423278,3.173470814,0.439008268,0.092425004
2,6,8,0.75,0.2,1,2.483423278,3.173470814,0.439008268,0.092425004
2,7,8,0.875,0.7,1,2.483423278,3.173470814,0.439008268,0.092425004
2,4,8,0.5,0.6,1,2.483423278,3.173470814,0.439008268,0.092425004
2,1,4,0.25,0.2,1,2.483423278,3.173470814,0.439008268,0.092425004
2,1,9,0.111111111,0.4,1,2.483423278,3.173470814,0.439008268,0.092425004
2,1,4,0.25,0.1,1,2.483423278,3.173470814,0.439008268,0.092425004
2,0,4,0,0.7,2,2.483423278,3.173470814,0.439008268,0.092425004
2,3,5,0.6,1,2,2.483423278,3.173470814,0.439008268,0.092425004
2,2,7,0.285714286,0.2,2,2.483423278,3.173470814,0.439008268,0.092425004
2,3,4,0.75,0.4,1,2.483423278,3.173470814,0.439008268,0.092425004
2,3,3,1,0.6,1,2.483423278,3.173470814,0.439008268,0.092425004
2,1,5,0.2,0.6,2,2.483423278,3.173470814,0.439008268,0.092425004
2,1,3,0.333333333,0.6,2,2.483423278,3.173470814,0.439008268,0.092425004
2,0,3,0,0.8,2,2.483423278,3.173470814,0.439008268,0.092425004
2,2,5,0.4,0.6,2,2.483423278,3.173470814,0.439008268,0.092425004
