subject_id,optimism_score
1,10
2,4
3,12
4,1
5,4
6,8
7,12
8,13
9,11
10,4
11,2
12,1
13,7
14,11
15,14
16,13
17,8
18,7
19,12
20,7
21,11
22,10
23,10
24,5
25,8
26,6
27,10
28,11
29,5
30,7
31,12
32,9
33,14
34,18
35,11
36,19
37,9
38,10
39,22
40,19
41,4
42,12
43,17
44,10
45,12
46,17
47,17
48,18
49,13
50,12
51,20
52,12
53,20
54,20
55,22
56,18
57,14
58,17
59,12
60,20
61,20
62,16
63,17
64,21
65,18
66,24
67,23
68,20
69,22
70,17
71,15
72,17
73,15
74,17
75,21
76,19
77,19
78,23
79,27
80,14
81,22
82,22
83,22
84,14
85,23
86,29
87,25
88,30
89,22
90,23
91,26
92,21
93,31
94,27
95,27
96,28
97,25
98,27
99,24
100,26
